English,Chinese,Pinyin,Image_Path,Topic,Created_Date,Chinese_Sentence
dog,狗,gǒu,"<img src=""dog_96acae33.jpg"">",dog,2025-07-27 23:31:23,My dog loves to play fetch.<br>我的狗喜欢玩接球。<br>Wǒ de gǒu xǐhuan wán jiēqiú.<br>My ____ loves to play fetch.<br>我的____喜欢玩接球。<br>Wǒ de ____ xǐhuan wán jiēqiú.
puppy,小狗,xiǎo gǒu,"<img src=""puppy_8037d3fb.jpg"">",dog,2025-07-27 23:31:23,The cute puppy wagged its tail.<br>那只可爱的小狗摇了摇尾巴。<br>Nà zhī kě'ài de xiǎo gǒu yáole yáo wěiba.<br>The cute ____ wagged its tail.<br>那只可爱的____摇了摇尾巴。<br>Nà zhī kě'ài de ____ yáole yáo wěiba.
bark,叫,jiào,"<img src=""bark_c34bc77d.jpg"">",dog,2025-07-27 23:31:23,My dog will bark at strangers.<br>我的狗会对着陌生人叫。<br>Wǒ de gǒu huì duìzhe mòshēngrén jiào.<br>My dog will ____ at strangers.<br>我的狗会对着陌生人____。<br>Wǒ de gǒu huì duìzhe mòshēngrén ____.
leash,狗链,gǒu liàn,"<img src=""leash_a3e7b983.jpg"">",dog,2025-07-27 23:31:23,Always put a leash on your dog when going for a walk.<br>遛狗时一定要给你的狗戴上狗链。<br>Liù gǒu shí yīdìng yào gěi nǐ de gǒu dài shàng gǒu liàn.<br>Always put a ____ on your dog when going for a walk.<br>遛狗时一定要给你的狗戴上____。<br>Liù gǒu shí yīdìng yào gěi nǐ de gǒu dài shàng ____.
tail,尾巴,wěiba,"<img src=""tail_0dfa8c27.jpg"">",dog,2025-07-27 23:31:23,The dog wagged its tail happily.<br>狗高兴地摇着尾巴。<br>Gǒu gāoxìng de yáozhe wěiba.<br>The dog wagged its ____ happily.<br>狗高兴地摇着____。<br>Gǒu gāoxìng de yáozhe ____.
paw,爪子,zhuǎzi,"<img src=""paw_6b56db6d.jpg"">",dog,2025-07-27 23:31:23,My dog offered its paw for a handshake.<br>我的狗伸出爪子跟我握手。<br>Wǒ de gǒu shēnchū zhuǎzi gēn wǒ wòshǒu.<br>My dog offered its ____ for a handshake.<br>我的狗伸出____跟我握手。<br>Wǒ de gǒu shēnchū ____ gēn wǒ wòshǒu.
walk,遛,liù,"<img src=""walk_31a55fa4.jpg"">",dog,2025-07-27 23:31:23,I need to walk the dog every morning.<br>我每天早上都要遛狗。<br>Wǒ měitiān zǎoshang dōu yào liù gǒu.<br>I need to ____ the dog every morning.<br>我每天早上都要____狗。<br>Wǒ měitiān zǎoshang dōu yào ____ gǒu.
feed,喂,wèi,"<img src=""feed_690cd4b1.jpg"">",dog,2025-07-27 23:31:23,Don't forget to feed the dog.<br>别忘了喂狗。<br>Bié wàngle wèi gǒu.<br>Don't forget to ____ the dog.<br>别忘了____狗。<br>Bié wàngle ____ gǒu.
loyal,忠诚,zhōngchéng,"<img src=""loyal_1462895e.jpg"">",dog,2025-07-27 23:31:23,Dogs are known for being loyal companions.<br>狗以忠诚的伴侣而闻名。<br>Gǒu yǐ zhōngchéng de bànlǚ ér wénmíng.<br>Dogs are known for being ____ companions.<br>狗以____的伴侣而闻名。<br>Gǒu yǐ ____ de bànlǚ ér wénmíng.
bone,骨头,gǔtou,"<img src=""bone_abb4f29f.jpg"">",dog,2025-07-27 23:31:23,The dog buried its bone in the yard.<br>狗把骨头埋在了院子里。<br>Gǒu bǎ gǔtou máizàile yuànzi lǐ.<br>The dog buried its ____ in the yard.<br>狗把____埋在了院子里。<br>Gǒu bǎ ____ máizàile yuànzi lǐ.
